fullStreetName,CoordList
Atwood Avenue,"[(-89.34459984318936, 43.09390443287486), (-89.34353038880671, 43.09388475028506)]"
Atwood Avenue,"[(-89.34353038880671, 43.09388475028506), (-89.34206991409987, 43.093856270574264)]"
Atwood Avenue,"[(-89.33780611226494, 43.09248389130266), (-89.33692983218033, 43.092103876644806)]"
Atwood Avenue,"[(-89.33863774666715, 43.0928366593113), (-89.33780611226494, 43.09248389130266)]"
Atwood Avenue,"[(-89.32947253643958, 43.08943348374527), (-89.32942283988443, 43.08940725054285), (-89.3293735529551, 43.08938060540493), (-89.32932468424607, 43.08935355013911), (-89.32927623866212, 43.089326090150514), (-89.32922822234275, 43.089298226344766), (-89.32918064141941, 43.08926996502808), (-89.32913350325826, 43.089241308007225), (-89.3290868127653, 43.08921225978722), (-89.32904057607576, 43.089182823973914), (-89.32899480055171, 43.089153005074465), (-89.32894948987499, 43.0891228048926), (-89.32890465140478, 43.08909222973549), (-89.32886029127764, 43.08906128230912), (-89.32881641439916, 43.08902996711842), (-89.32877302567645, 43.088998287768426), (-89.3287301324712, 43.08896624876618), (-89.32868773969034, 43.08893385371663), (-89.3286458534675, 43.088901107125835), (-89.32860447748004, 43.08886801349792), (-89.3285636178629, 43.088834576438764), (-89.32852328074803, 43.08880080135462), (-89.32848346981558, 43.088766690949335), (-89.32844419119616, 43.088732251529116), (-89.32840545102445, 43.088697486699964), (-89.32836725297761, 43.08866240096595), (-89.3283296019608, 43.08862699883217), (-89.32829250287925, 43.08859128480365), (-89.32812220497489, 43.088426878354674)]"
Atwood Avenue,"[(-89.34206991409987, 43.093856270574264), (-89.34164970013195, 43.093854003491366)]"
Atwood Avenue,"[(-89.34164970013195, 43.093854003491366), (-89.34122640694312, 43.09385371380714), (-89.34120290313864, 43.09385349285384), (-89.34117941592494, 43.093852798454954), (-89.34115596495376, 43.09385163062444), (-89.34113256496173, 43.093849991173016), (-89.34110923682871, 43.09384788011538), (-89.3410859965195, 43.09384529926323), (-89.3410628612259, 43.09384225132899), (-89.3410398493678, 43.09383873902614)]"
Atwood Avenue,"[(-89.3410398493678, 43.09383873902614), (-89.34101688850214, 43.09383474700166), (-89.34099408668956, 43.093830291534054), (-89.34097146111955, 43.09382537713611), (-89.3409490302131, 43.09382000562121), (-89.3409268099289, 43.093814183301454), (-89.34090481745748, 43.09380791378961), (-89.34088306876104, 43.09380120069757), (-89.34086158225462, 43.09379405033924)]"
Atwood Avenue,"[(-89.34086158225462, 43.09379405033924), (-89.3408400068452, 43.093786332850755), (-89.34081873539023, 43.09377817452549), (-89.34079778630593, 43.09376958077722), (-89.34077717432022, 43.09376055971754), (-89.34075691662099, 43.09375111675939), (-89.34017989284, 43.093494931452426), (-89.34009641419281, 43.09345868848708), (-89.34003561494399, 43.093436613113404), (-89.33984854108026, 43.09335528785899), (-89.33975150113109, 43.093313551474374)]"
Atwood Avenue,"[(-89.33581525408681, 43.09165604480919), (-89.33570980265644, 43.09161891164616), (-89.33560403133949, 43.09158227049839), (-89.33549794381473, 43.091546124068195), (-89.33539154499154, 43.09151047325836), (-89.33528483855223, 43.091475318071005), (-89.33517782940238, 43.091440662109285), (-89.33507052122296, 43.09140650627533), (-89.33353668827966, 43.09088715951059), (-89.33250163231003, 43.09053667841074), (-89.33088808789421, 43.08999028993541), (-89.33078383074844, 43.089954227891994), (-89.33067988515265, 43.08991768714891), (-89.33057625479297, 43.089880667710005), (-89.3304729433517, 43.08984317227937), (-89.33036995574038, 43.089805202662), (-89.33026729687323, 43.08976675886267), (-89.33016496797623, 43.089727843583596), (-89.33006297519022, 43.08968845773065), (-89.32996132219988, 43.089648602207824), (-89.3299108537168, 43.089629105849276), (-89.32986071754235, 43.08960915338547), (-89.32981092227008, 43.089588747524125), (-89.3297614764935, 43.089567890972944), (-89.32971238634852, 43.08954658733763), (-89.3296636591977, 43.08952484112519), (-89.32961530363721, 43.08950265324311), (-89.32956732580006, 43.08948002909744), (-89.32951973427954, 43.089456971395876), (-89.32947253643958, 43.08943348374527)]"
